"","Estimate","lwr","upr","p_value","std_error","model"
"SF - UF28",-0.897244902539757,-1.61752245544548,-0.17696734963403,0.00769009896632022,0.281045678300905,"TD_q1_small_STM"
"LBF - LF28",0.0133344321130093,-0.605968341892616,0.632637206118635,0.999939000321449,0.24164624802187,"TD_q1_small_STM"
"SF - LF28",-1.22389313424543,-1.80980467513373,-0.637981593357139,3.07446777370046e-07,0.228617295886815,"TD_q1_small_STM"
"SF - LBF28",-1.23722756635844,-1.8329314670693,-0.641523665647586,5.2430482444521e-07,0.232438184650315,"TD_q1_small_STM"
"LF - UF29",0.425423652881933,-0.303714855925016,1.15456216168888,0.437037280334264,0.284496579740979,"TD_q2_small_STM"
"LBF - UF29",0.38672937227387,-0.393367289673596,1.16682603422134,0.578654554131111,0.304379523932358,"TD_q2_small_STM"
"SF - UF29",-0.793633625338506,-1.54020834750325,-0.0470589031737607,0.0320319511330127,0.291299872947977,"TD_q2_small_STM"
"LBF - LF29",-0.0386942806080633,-0.669626206845849,0.592237645629722,0.998600027213807,0.246178158053592,"TD_q2_small_STM"
"SF - LF29",-1.21905727822044,-1.81794172960302,-0.620172826837862,7.93941503318685e-07,0.233673816456602,"TD_q2_small_STM"
"SF - LBF29",-1.18036299761238,-1.78889217331194,-0.571833821912809,3.84854783219701e-06,0.237437012403032,"TD_q2_small_STM"
"LF - UF30",0.347695375081119,-0.409661531411926,1.10505228157416,0.639541596098862,0.295547843128475,"FD_q0_small_STM"
"LBF - UF30",0.494829260131895,-0.304154048079374,1.29381256834316,0.383522830188461,0.311791958867761,"FD_q0_small_STM"
"SF - UF30",-0.588984372236959,-1.34845203035368,0.170483285879761,0.191017556803562,0.296371534157644,"FD_q0_small_STM"
"LBF - LF30",0.147133885050776,-0.523692407873821,0.817960177975373,0.94275078728659,0.26178049251018,"FD_q0_small_STM"
"SF - LF30",-0.936679747318078,-1.5678434033435,-0.305516091292653,0.000890809957709626,0.246302708274187,"FD_q0_small_STM"
"SF - LBF30",-1.08381363236885,-1.7266360414639,-0.440991223273811,8.86753370666904e-05,0.250852372103423,"FD_q0_small_STM"
"LF - UF31",0.305465985250147,-0.417601758316677,1.02853372881697,0.696851625832595,0.281792044609651,"FD_q1_small_STM"
